video_id,url,title,transcript_status
adb4kpt6_dM,https://www.youtube.com/watch?v=adb4kpt6_dM,[피엠인터내셔널] 독일피엠3종쥬스 먹을 때 꼭 알아야할 꿀팁대방출 1탄!,error
83swE8lX2XA,https://www.youtube.com/watch?v=83swE8lX2XA,피엠인터내셔널 독일피엠쥬스 집중적인 에너지 충전이 필요할때 후회없는 뮤노겐,error
63L-keTuU5M,https://www.youtube.com/watch?v=63L-keTuU5M,[독일피엠학교]-액티바이즈(Activize) 제품설명 (독일PM-피엠인터내셔널),error
PvKdkqEftC4,https://www.youtube.com/watch?v=PvKdkqEftC4,[공식영상] 피엠인터내셔널코리아 영종 물류센터,error
Br5Fx8Xz2Lc,https://www.youtube.com/watch?v=Br5Fx8Xz2Lc,독일피엠 사업 시작전 후회 안하고 싶다면 꼭 보세요! 피엠인터내셔널,error
6WnOQCYuftc,https://www.youtube.com/watch?v=6WnOQCYuftc,나는 질병 없이 살기로 했다 *독일피엠  #피엠인터내셔널 #독일피엠주스 #채이나PT,error
seFu5o7gk5g,https://www.youtube.com/watch?v=seFu5o7gk5g,[피엠인터내셔널] 리얼경험담 독일PM쥬스 뭐가 좋아요? 진짜 좋아요?,error
j9Rlh2nciQM,https://www.youtube.com/watch?v=j9Rlh2nciQM,[피엠인터내셔널 창립자&CEO] Sunday Secrets 시즌 5 - 중요한 것에 집중하는 법,error
bKQsjpQPMYQ,https://www.youtube.com/watch?v=bKQsjpQPMYQ,[독일피엠학교] 놀라운 회사 PM / 독일피엠-피엠인터내셔널,error
uiE3CIsioP0,https://www.youtube.com/watch?v=uiE3CIsioP0,피엠인터내셔널 비즈니스 성장 비결 '오토십 편',error
YKMiBmUMZKc,https://www.youtube.com/watch?v=YKMiBmUMZKc,독일피엠주스 파워칵테일 성분을 보면 효능이 보인다!(피엠인터내셔널),error
neTI9CjhT00,https://www.youtube.com/watch?v=neTI9CjhT00,독일피엠주스 액티바이즈 언제 먹어야 가장 효과 있나요? 피엠인터내셔널,error
pufFfVGmORU,https://www.youtube.com/watch?v=pufFfVGmORU,피엠인터내셔널코리아 제품주문 방법(모바일),error
Y8lJz8IVAf8,https://www.youtube.com/watch?v=Y8lJz8IVAf8,[피엠인터내셔널 보상플랜] #3 ABO와 퍼스트라인 보너스,error
-V8KgDmMOMA,https://www.youtube.com/watch?v=-V8KgDmMOMA,[독일피엠학교]-제품섭취방법 (독일PM-피엠인터내셔널),error
Kf1FVIDzuSk,https://www.youtube.com/watch?v=Kf1FVIDzuSk,[피엠인터내셔널]  단백질 알고 먹자~!유청단백질 웨이와 프로쉐이프 비교 및 PM쥬스 효과보는법?,error
